,item_id,item_sold,item_name
0,32597758635,1240 orders,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V
1,32942144691,847 orders,DC 12V/15V/16V/18V/19V/20V/24V 4-5A 96W Laptop AC Universal Power Adapter Charger for ASUS DELL Lenovo Sony Toshiba Laptop
2,32810164959,875 orders,Universal Car 80W Power LED Auto Car Charger Adjustable Power Supply Adapter Set 8 Detachable Plugs For Laptop Notebook
3,32632600938,917 orders,New 19V 3.42A 5.5x1.7mm Power Suppy Adapter For Acer Aspire Laptop 5315 5630 5735 5920 5535 5738 6920 7520 Notebook Charger
4,33002563321,513 orders,96W Notebook Adapter 12V 15V 16V 18V 19V 4.5A 20V 24V 4A AC DC Adaptor Adjustable Power Supply Adapter Universal Charger
5,32810112786,350 orders,Universal High Quality 19V 3.42A 65W Laptop Charger For Toshiba Laptop Charging Device For Netbook Notepads Power Adapter
6,32888170029,368 orders,HSW quality 19V 4.74A 90w LAPTOP CHARGER AC ADAPTER POWER SUPPLY FOR HP Pavilion DV3 DV4 DV5 DV6
7,32788890848,273 orders,18.5V 3.5A 65W AC Adapter For hp Laptop Charger For HP Compaq 6910P 2230s DV5 DV6 DV7 DV4 G50 G60 N193 CQ43 CQ32 CQ60 CQ61 CQ62
8,32880886831,150 orders,Asus Laptop Adapter 19V 3.42A 65W 5.5*2.5mm ADP-65DW A / ADP-65AW A AC Power Charger For Asus X550C A450C Y481C Notebook
9,32874982263,394 orders,QINERN EU 20V 3.25A 65W 4.0*1.7mm AC Laptop Charger For Lenovo IdeaPad 100-15 B50-10 YOGA 710 510-14ISK Notebook Power Adapter
10,32959239179,276 orders,For Asus laptop adapter 19V 2.37A 45W 5.5*2.5mm AC Adapter Power Charger For ASUS A52F X450 X450L X550V X501LA X550C X551CA X555
11,32850704130,200 orders,19V 3.16A Universal Laptop AC Adapter Power Supply For Samsung AD-6019 ADP-60ZH AD-6019R CPA09-004A PA-1600-66 APD-60HZ Charger
12,32959386419,279 orders,Basix NEW Original 19.5V 3.33A 65W 4.5*3.0 AC Power Adapter Charger Power Supply for HP Laptop Adapter Pavilion 15 Envy 17
13,32788890852,145 orders,Universal 80W DC Car Charger Laptop Notebook Adapter Adjustable LED Auto Power Supply Set + 8 Detachable Plugs Computer Charger
14,32993977479,117 orders,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V
15,32343136892,128 orders,"19.5V 4.62A 90W AC Adapter FOR DELL Latitude D505 D510 D800 D810 D820 E5530,E5400,E6500,M70 Laptop Power Charger Supply"
16,32790959319,156 orders,19.5V 4.62A AC Laptop Adapter For dell inspiron PA-10 1545 N4010 n4030 n4050 1400 D610 D620 D630 1420 D800 E6400 pa-1900-02D
17,32954653412,132 orders,Ingelon Portable cargador Universal portatil 80W Notebook DC 15v-19v to 24v power adapter Adjustable car laptop charger lader
18,32617572014,98 orders,LCD Third Generation Smart Multifunctional Universal Power Supply Home or Car Charger Laptop Adapter 90W with USB2.4A for Phone
19,32788932952,159 orders,Universal Power Supply Charger For Notebook AC Laptop Adapter Charger For HP Power Supply Charger Cord For HP Laptop Envy4 Envy6
20,32942053060,142 orders,HOT 96W Universal Power Charger Charging AC Adapter EU/US/UK Plug For Laptop NotebooK and 555 775 795 motor power adapter
21,32957115062,81 orders,19.5V 3.34A 65W laptop AC power adapter charger for Dell Inspiron 15 3551 3552 3558 5551 5552 5555 5558 5559 7568 P28E P57G
22,32865455717,386 orders,EU 19V 1.75A 33W 4.0*1.35mm AC Laptop Charger Power Adapter For ASUS ADP-33AW S200E X202E X201E Q200 S200L S220 X453M F453 X403M
23,33006223242,51 orders,19.5V 4.62A 90W 7.4x5.0mm Laptop adapter charger for Dell Inspiron 15 (3520) (3521) Power Supply
24,33035020392,1267 orders,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba Hp Asus Acer Laptops Eu-Plug
25,32852427227,82 orders,19V 3.16A 5.5x3.0mm AC Power Supply Adapter For Samsung NP300V5A RV411 R428 RV415 RV420 RV515 R540 R510 R522 R530 Laptop Charger
26,32887697518,33 orders,19V 3.42A 65w EU Plug Laptop AC Power Adapter Zenbook Charger for Asus UX32VD UX32A UX42 V451 U38D UX32V 4.0mm*1.35mm
27,33053088336,74 orders,Universal 12-24V 4.5A 100W Laptop Notebook Power Adapter Charger for Acer ASUS DELL Thinkpad Lenovo Sony Samsung Laptop computer
28,32862921368,150 orders,EU 19V 2.15A 40W 5.5*1.7mm AC Laptop Adapter For Acer Aspire One D255 533 D257 D260 W500P W501 W501P E15 Power Supply Charger
29,32992033664,97 orders,96W Universal Laptop PC Netbook Power Supply Charger 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter
30,32818464811,34 orders,19.5V 2.31A Laptop DC Car Charger Power Adapter for HP EliteBook 820 G3 820 G4 840 G3 840 G4 1040 G2 1040 G1 1040 G3 1030 G1 725
31,33055562905,246 orders,DC In Car Charger Notebook Universal AC Adapter Power Supply For Laptop 100W 5A Drop shippingWholesale dropshipping
32,32799435466,144 orders,CARPRIE MotherLander 96W Universal Power Charger Charging AC Adapter EU Plug For Laptop Notebook Mar9
33,32327844257,81 orders,100W Universal Multifunction laptop Power Supply adapter car charger for laptop/Mobile Phone/Notebook USB Power and 15connector
34,32858191355,39 orders,Universal 8xTip Connectors AC/DC To DC Inverter Car Charger Power Supply Adpter With Car Charger Adapter Cord For Laptop EU Plug
35,32881314860,18 orders,Supply New Laptop Adapter Power Charger Universal 120W Universal EU Plug Laptop Car DC Charger Notebook AC Adapter Power
36,32982582725,56 orders,AC Laptop Power Adapter Charger 20V 3.25A 65W For Lenovo Yoga 13 G400 G500 G505 G405 For Thinkpad X300S X301S X230S S230U
37,32500831234,92 orders,Flashcolor 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter 96W Universal Laptop PC Power Supply Charger
38,32827720628,59 orders,"Original 65W AC Power Adapter Charger for HP Spectre x360 -13t 13t-4100 Touch Laptop ProBook 430 G3, 450 G3, 455 G3, 470 G3, 440"
