,item_id,item_sold,item_name
0,32597758635,1213 orders,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V
1,32942144691,1020 orders,DC 12V/15V/16V/18V/19V/20V/24V 4-5A 96W Laptop AC Universal Power Adapter Charger for ASUS DELL Lenovo Sony Toshiba Laptop
2,32810164959,778 orders,Universal Car 80W Power LED Auto Car Charger Adjustable Power Supply Adapter Set 8 Detachable Plugs For Laptop Notebook
3,32632600938,552 orders,New 19V 3.42A 5.5x1.7mm Power Suppy Adapter For Acer Aspire Laptop 5315 5630 5735 5920 5535 5738 6920 7520 Notebook Charger
4,33002563321,528 orders,96W Notebook Adapter 12V 15V 16V 18V 19V 4.5A 20V 24V 4A AC DC Adaptor Adjustable Power Supply Adapter Universal Charger
5,32810112786,364 orders,Universal High Quality 19V 3.42A 65W Laptop Charger For Toshiba Laptop Charging Device For Netbook Notepads Power Adapter
6,32888170029,360 orders,HSW quality 19V 4.74A 90w LAPTOP CHARGER AC ADAPTER POWER SUPPLY FOR HP Pavilion DV3 DV4 DV5 DV6
7,32788890848,223 orders,18.5V 3.5A 65W AC Adapter For hp Laptop Charger For HP Compaq 6910P 2230s DV5 DV6 DV7 DV4 G50 G60 N193 CQ43 CQ32 CQ60 CQ61 CQ62
8,32880886831,202 orders,Asus Laptop Adapter 19V 3.42A 65W 5.5*2.5mm ADP-65DW A / ADP-65AW A AC Power Charger For Asus X550C A450C Y481C Notebook
9,32874982263,200 orders,QINERN EU 20V 3.25A 65W 4.0*1.7mm AC Laptop Charger For Lenovo IdeaPad 100-15 B50-10 YOGA 710 510-14ISK Notebook Power Adapter
10,32959239179,185 orders,For Asus laptop adapter 19V 2.37A 45W 5.5*2.5mm AC Adapter Power Charger For ASUS A52F X450 X450L X550V X501LA X550C X551CA X555
11,32850704130,175 orders,19V 3.16A Universal Laptop AC Adapter Power Supply For Samsung AD-6019 ADP-60ZH AD-6019R CPA09-004A PA-1600-66 APD-60HZ Charger
12,32959386419,182 orders,Basix NEW Original 19.5V 3.33A 65W 4.5*3.0 AC Power Adapter Charger Power Supply for HP Laptop Adapter Pavilion 15 Envy 17
13,32788890852,165 orders,Universal 80W DC Car Charger Laptop Notebook Adapter Adjustable LED Auto Power Supply Set + 8 Detachable Plugs Computer Charger
14,32993977479,154 orders,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V
15,4000069793865,180 orders,60W Magnetic L-tip laptop Charger for Apple MacBook Pro 13 inch A1181 A1278 A1184 A1330 A1342 A1344
16,32343136892,134 orders,"19.5V 4.62A 90W AC Adapter FOR DELL Latitude D505 D510 D800 D810 D820 E5530,E5400,E6500,M70 Laptop Power Charger Supply"
17,32790959319,137 orders,19.5V 4.62A AC Laptop Adapter For dell inspiron PA-10 1545 N4010 n4030 n4050 1400 D610 D620 D630 1420 D800 E6400 pa-1900-02D
18,32954653412,138 orders,Ingelon Portable cargador Universal portatil 80W Notebook DC 15v-19v to 24v power adapter Adjustable car laptop charger lader
19,32617572014,125 orders,LCD Third Generation Smart Multifunctional Universal Power Supply Home or Car Charger Laptop Adapter 90W with USB2.4A for Phone
20,32788932952,120 orders,Universal Power Supply Charger For Notebook AC Laptop Adapter Charger For HP Power Supply Charger Cord For HP Laptop Envy4 Envy6
21,32942053060,120 orders,HOT 96W Universal Power Charger Charging AC Adapter EU/US/UK Plug For Laptop NotebooK and 555 775 795 motor power adapter
22,32957115062,110 orders,19.5V 3.34A 65W laptop AC power adapter charger for Dell Inspiron 15 3551 3552 3558 5551 5552 5555 5558 5559 7568 P28E P57G
23,32865455717,118 orders,EU 19V 1.75A 33W 4.0*1.35mm AC Laptop Charger Power Adapter For ASUS ADP-33AW S200E X202E X201E Q200 S200L S220 X453M F453 X403M
24,32971072372,95 orders,65W 61W 45W USB Type C 20V 3.25A Universal Laptop Charger Adapter Power Supply for Asus Lenovo HP Dell Xiaomi ADL-65A1 EU Plug
25,33006223242,89 orders,19.5V 4.62A 90W 7.4x5.0mm Laptop adapter charger for Dell Inspiron 15 (3520) (3521) Power Supply
26,33035020392,107 orders,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba Hp Asus Acer Laptops Eu-Plug
27,32852427227,78 orders,19V 3.16A 5.5x3.0mm AC Power Supply Adapter For Samsung NP300V5A RV411 R428 RV415 RV420 RV515 R540 R510 R522 R530 Laptop Charger
28,32887697518,73 orders,19V 3.42A 65w EU Plug Laptop AC Power Adapter Zenbook Charger for Asus UX32VD UX32A UX42 V451 U38D UX32V 4.0mm*1.35mm
29,33053088336,76 orders,Universal 12-24V 4.5A 100W Laptop Notebook Power Adapter Charger for Acer ASUS DELL Thinkpad Lenovo Sony Samsung Laptop computer
30,4000223489312,101 orders,"Youpin New 45W 60W 85W MS*1 L-Tip Laptop Power Adapter Charger For Apple MacbooK Air Pro 11"" 13"" 15"" 17"""
31,32862921368,69 orders,EU 19V 2.15A 40W 5.5*1.7mm AC Laptop Adapter For Acer Aspire One D255 533 D257 D260 W500P W501 W501P E15 Power Supply Charger
32,32992033664,70 orders,96W Universal Laptop PC Netbook Power Supply Charger 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter
33,4000223461794,106 orders,"Youpin New 45W 60W 85W MS*2 T-Tip Laptop Power Adapter Charger For Apple MacbooK Air Pro 11""13"" 15""17"""
34,32818464811,61 orders,19.5V 2.31A Laptop DC Car Charger Power Adapter for HP EliteBook 820 G3 820 G4 840 G3 840 G4 1040 G2 1040 G1 1040 G3 1030 G1 725
35,33055562905,62 orders,DC In Car Charger Notebook Universal AC Adapter Power Supply For Laptop 100W 5A Drop shippingWholesale dropshipping
36,32799435466,52 orders,CARPRIE MotherLander 96W Universal Power Charger Charging AC Adapter EU Plug For Laptop Notebook Mar9
37,32327844257,48 orders,100W Universal Multifunction laptop Power Supply adapter car charger for laptop/Mobile Phone/Notebook USB Power and 15connector
38,32858191355,48 orders,Universal 8xTip Connectors AC/DC To DC Inverter Car Charger Power Supply Adpter With Car Charger Adapter Cord For Laptop EU Plug
39,32881314860,38 orders,Supply New Laptop Adapter Power Charger Universal 120W Universal EU Plug Laptop Car DC Charger Notebook AC Adapter Power
40,32982582725,42 orders,AC Laptop Power Adapter Charger 20V 3.25A 65W For Lenovo Yoga 13 G400 G500 G505 G405 For Thinkpad X300S X301S X230S S230U
41,32500831234,40 orders,Flashcolor 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter 96W Universal Laptop PC Power Supply Charger
42,32827720628,37 orders,"Original 65W AC Power Adapter Charger for HP Spectre x360 -13t 13t-4100 Touch Laptop ProBook 430 G3, 450 G3, 455 G3, 470 G3, 440"
43,32910850460,35 orders,Laptop Adapter Charger 19V 3.42A 65W Power Adapter AC Charger for Asus 100-240V for US EU plug
44,32887647476,33 orders,100W Universal AC Adapter Power Supply Charger Cord for Laptop Notebook New
45,32342515676,30 orders,18.5V 3.5A 65W AC Power Adapter Battery Charger for Compaq Presario CQ57 CQ60 CQ61 CQ70 CQ71 CQ81 Laptop with Power Cable
46,32531261115,28 orders,GYIYGY AC DC Charger for HP ENVY X2 20W 15V 1.33A AC Power Adapter 714656-001 714148-001 C2K63UA laptop notebook ac adapter
47,32979767907,26 orders,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V
48,33003521931,27 orders,19V 4.74A 90W Universal Laptop Power Adapter Charger for Lenovo Asus Acer Dell HP Samsung Toshiba Laptop with 32 Connectors
49,32619544738,25 orders,Third Generation LCD Smart Universal AC Charger Laptop Adapter for HP/DELL/Samsung/Lenovo/Asus/ACER notebook with USB for Phone
50,32998526782,25 orders,For Laptop In Car DC Charger Notebook AC Adapter Power Supply 100W Universal
51,32489626448,25 orders,Replacement For Asus 19V 3.42A 5.5*2.5MM 65W k50ij K40IJ x550c A52F K501 K50IJ K50i K52F Laptop AC Charger Power Adapter
52,32851896442,27 orders,90W 19V 4.7A Adapter Laptop Power Supply AC Charger Adapers for Notebook Computer Acer Aspire Ferrari Travel Mate
53,32888118667,24 orders,HSW 20V 3.25A 5.5*2.5 Laptop Ac Adapter Charger for Lenovo IdeaPad G575 G580 G770 G780 N580 N581 N585 N586 P500 P580 P585
54,33037121126,27 orders,96W Universal Laptop Power Supply PC Notebook Computer Charger 12V-24V Adjustable AC/DC Adapter for ASUS DELL Lenovo Samsung
55,33016171172,23 orders,Universal Laptop 19.5V 4.7A AC Power Notebook Charger Adapter for SONY Series Computer Power Supply External
56,32803469620,20 orders,19V 3.42A 65W laptop charger ac adapter AK.065AP.013 for Acer Aspire E1-531 E1-531G E1-571 E1-571G E1-571P E1-571PG E1-731
57,4000131355320,20 orders,75W PD Type C USB Fast Charger 45W For MacBook Matebook Laptop Power Adapter Quick QC3.0 Charging 18W For iPhone iPad Pro Tablet
58,33027410897,15 orders,19V 3.95A laptop AC power adapter charger PA5034U-1ACA PA3715E-1AC3 PA3468E-1AC3 For Toshiba S40-A U400 U405 Tecra A50-A1550
59,32803617403,13 orders,19V 2.37A 45W PA-1450-79 laptop ac power adapter charger for Acer Chromebook R11 C738T CB5-132T Spin 3 SP315-51 Spin 5 SP513-51
60,32964185065,13 orders,Universal 96W 110V-240V AC Adapter Power Supply Charger EU Plug for PC Laptop Notebook Computer Charging PowerAdapter Plug Black
61,32672034760,9 orders,19.5V 3.9A Laptop Ac Power Adapter Charger for Sony VAIO SVE171E13M VGP-AC19V19 VGP-AC19V20 VGP-AC19V27 VGP-AC19V37 VGP-AC19V33
62,33063807272,12 orders,For Laptop In Car DC Charger Notebook AC Adapter Power Supply 100W Universal Black color Drop Shipping Support
63,4000052060355,11 orders,Universal USB Port Auto Car Charger DC Power Supply Adapter with 8 Detachable Plugs For HP ASUS DELL Lenovo Samsung Laptop
64,32678406564,7 orders,Malloom 2019 80W Universal Car Charger Auto DC Power Adapter Supply For Notebook Laptop PC Frete Greatsuiton #J017
65,32889507635,7 orders,HSW 19V 3.42A 5.5x1.7mm Universal Laptop Charger Adapter For Acer Aspire 5315 5630 5735 5920 5535 5738 6920 7520 SADP-65KB 1690
66,32810991774,6 orders,AC DC Power Adapter 0957-2286 30V 333mA Supply Charger for HP Deskjet printer 1000 1050 2000 2060 2050 0957-2290 With AC Cable
67,33018219380,5 orders,96W Universal Laptop Charger Power Adapter Power Charger Adapter AC For Laptop Notebook Car Charger Carregador Portatil L0508
68,32821069855,6 orders,Genuine Original 90W 19.5V Laptop AC Adapter Charger for Sony Vaio VGP-AC19V25 VGP-AC19V26 VGP-AC19V27
69,4000018022741,4 orders,New Replacement for Lenovo Universal 120W Laptop Adapter Power DC Charger Notebook AC Adapter
