,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.50,DC 12V/15V/16V/18V/19V/20V/24V 4-5A 96W Laptop AC Universal Power Adapter Charger for ASUS DELL Lenovo Sony Toshiba Laptop,1093 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/DC-12V-15V-16V-18V-19V-20V-24V-4-5A-96W-Laptop-AC-Universal-Power-Adapter/32942144691.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-0&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",1
1,US $13.68,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba Hp Asus Acer Laptops Eu-Plug,158 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/34Pcs-Universal-Power-Adapter-96W-12V-To-24V-Adjustable-Portable-Charger-For-Dell-Toshiba-Hp-Asus/33035020392.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-1&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",2
2,US $6.16 - 9.24,CARPRIE MotherLander 96W Universal Power Charger Charging AC Adapter EU Plug For Laptop Notebook Mar9,63 Sold,High Tech Paradise Store,https://www.aliexpress.com/store/2694024,"https://www.aliexpress.com/item/CARPRIE-MotherLander-96W-Universal-Power-Charger-Charging-AC-Adapter-EU-Plug-For-Laptop-Notebook-Mar9/32799435466.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-2&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",3
3,US $13.20,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V,1183 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/19V-4-74A-90W-Universal-Power-Adapter-Charger-For-Acer-Asus-Dell-HP-Lenovo-Samsung-Toshiba/32597758635.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-3&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",4
4,US $6.99,Universal Car 80W Power LED Auto Car Charger Adjustable Power Supply Adapter Set 8 Detachable Plugs For Laptop Notebook,774 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/Universal-Car-80W-Power-LED-Auto-Car-Charger-Adjustable-Power-Supply-Adapter-Set-8-Detachable-Plugs/32810164959.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-4&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",5
5,US $6.50,96W Universal Laptop PC Netbook Power Supply Charger 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter,79 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/96W-Universal-Laptop-PC-Netbook-Power-Supply-Charger-110-220v-AC-To-DC-12V-15V-16V/32992033664.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-5&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",6
6,US $8.29,New 19V 3.42A 5.5x1.7mm Power Suppy Adapter For Acer Aspire Laptop 5315 5630 5735 5920 5535 5738 6920 7520 Notebook Charger,586 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/New-19V-3-42A-5-5x1-7mm-Power-Suppy-Adapter-For-Acer-Aspire-Laptop-5315-5630/32632600938.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-6&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",7
7,US $5,18.5V 3.5A 4.8*1.7mm 65W Laptop Charger For HP Compaq Presario C300 C500 C700 Power Adapter 18.5V3.5A,17 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/18-5V-3-5A-4-8-1-7mm-65W-Laptop-Charger-For-HP-Compaq-Presario-C300/32959056162.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-7&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",8
8,US $7.87,Universal High Quality 19V 3.42A 65W Laptop Charger For Toshiba Laptop Charging Device For Netbook Notepads Power Adapter,352 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/Universal-High-Quality-19V-3-42A-65W-Laptop-Charger-For-Toshiba-Laptop-Charging-Device-For-Netbook/32810112786.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-8&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",9
9,US $17.28,100W Universal Multifunction laptop Power Supply adapter car charger for laptop/Mobile Phone/Notebook USB Power and 15connector,52 Sold,AMARROW Official Store,https://www.aliexpress.com/store/1165358,"https://www.aliexpress.com/item/100W-Universal-Multifunction-laptop-Power-Supply-adapter-car-charger-for-laptop-Mobile-Phone-Notebook-USB-Power/32327844257.html?algo_pvid=22a6aed6-e6a5-4006-99b4-f87b9698db87&algo_expid=22a6aed6-e6a5-4006-99b4-f87b9698db87-9&btsid=9c0c397b-90e2-4c98-a967-387862f86238&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_52",10
